ean,article
7350039279186,101223017_ST
7313160020508,101839657_ST
5019503048865,101693078_ST
7311043007950,101547588_ST
7311372147730,101293236_ST
7622210697134,101262509_ST
3228024210138,101366606_ST
7311441165610,101545338_ST
7311043016143,101693373_ST
7311043026708,101832965_ST
7311043026715,101832966_ST
5762385078979,101386603_ST
7311043020409,101745808_ST
7350027799788,101831532_ST
7350027793984,101262536_ST
7311041081679,101261772_ST
7393624095327,101777290_ST
7350031135473,101261444_ST
7311043015030,101667155_ST
7311043025459,101821161_ST
7350008950504,101237216_ST
7322550097679,101216281_ST
7350008952065,101041828_ST
7394048001321,101104751_ST
7312787740257,101708735_ST
7350031135503,101261427_ST
7311441165405,101447882_ST
7392555502041,101230689_ST
5707196272963,101336170_ST
7350037198274,101839968_ST
7350037198250,101839966_ST
7350037194405,101360844_ST
6416453062320,101214694_ST
7316110002951,101828904_ST
7310070008725,101833673_ST
7350115940283,101760686_ST
7350126089032,101676608_ST
7310960049258,101548454_ST
7311043006366,101541042_ST
7340001806809,101719847_ST
4100290056308,101776413_ST
7613034365774,101703076_ST
7322550092070,101205394_ST
8000920461235,100074429_ST
7350076362261,101548181_ST
7310240077575,101177031_ST
7331494126420,101834841_ST
7331494126437,101612365_ST
3228020481426,101280546_ST
3153126826003,101352261_ST
7331494129827,101680571_ST
5704025035560,101458739_ST
7340083484759,101329016_ST
7350002409190,101263555_ST
7340083475764,101290351_ST
3529380019091,101544491_ST
8850058004138,101205738_ST
7350027799566,101708441_ST
7340083492600,101353620_ST
7311043008308,101548684_ST
7350027799818,101802856_ST
7340083481192,101310265_ST
4100290056438,101776414_ST
5900649058361,101844349_ST
5900649058354,101844334_ST
8711000494615,101413104_ST
5710326016788,101364762_ST
7350068291234,101261671_ST
6408432000485,101834040_ST
7613034532657,101217877_ST
5900649090989,101811811_ST
5900649091023,101759219_ST
7340083471650,101286197_ST
7310240071672,101094496_ST
7310240077667,101223013_ST
5201004020338,101127362_ST
7392555502027,101230650_ST
8711327540934,101354483_ST
8720701144675,101832474_ST
8711327374324,101360909_ST
7350104402235,101514863_ST
5774540137902,101663966_ST
7394376622816,101676639_ST
4100290056421,101776415_ST
3046920027281,101202685_ST
3046920020305,101545152_ST
7350065514763,101692602_ST
8711200359721,101284565_ST
7340083487514,101334261_ST
8720182406651,101424684_ST
8711327416215,101337939_ST
54881005920,101254662_ST
8000500269169,101297231_ST
7340131600216,101264914_ST
7340083447402,101245370_ST
7340131605952,101824304_ST
7392031803860,101838918_ST
7314530008416,101305343_ST
7311043005161,101521352_ST
8004690052815,101531951_ST
7311043010769,101582758_ST
7340083478956,101303283_ST
7311043004195,101500806_ST
7311043023653,101808101_ST
7311043010752,101582740_ST
7340083490088,101343041_ST
7340083487705,101350478_ST
7311043010745,101582739_ST
7311043008148,101760603_ST
7041111153981,101583772_ST
7340083482007,101316032_ST
7311041062821,101143157_ST
7311043015290,101670642_ST
7350046468658,101387409_ST
7350046465152,101447614_ST
7340083433733,101231778_ST
7300324013001,101692773_ST
7300400482165,101297168_ST
7310040020719,100968188_ST
7310040021341,100365392_ST
7310350135141,101447979_ST
80127673,101464245_ST
9120018531479,101197129_ST
7340083459757,101259162_ST
3850104018237,100608781_ST
9120018530281,101159390_ST
5281014000032,101691784_ST
7311043003259,101499081_ST
5701182012830,101346311_ST
5701182012809,101307183_ST
5701182012854,101361423_ST
7340083450075,101231182_ST
7311180052288,101584101_ST
5021991944512,101442149_ST
5701182013066,101501192_ST
4771085203131,101238494_ST
7340007905667,100916984_ST
4771085203094,101284377_ST
7311043014927,101662587_ST
7311043017171,101702679_ST
2090211300004,100152031_KG
7311041059951,101086165_ST
7311043017164,101702678_ST
7311041007648,100351352_ST
5413508015523,101220131_ST
7311043014934,101662598_ST
7322550033387,101696670_ST
7322550092063,101205360_ST
7310401047430,101489966_ST
3529380020813,101774911_ST
7340005407095,101762384_ST
5000246727414,101283891_ST
7350054201209,101543689_ST
7350054201216,101543667_ST
7310130011627,101333109_ST
7315200590880,101676752_ST
5000295080836,101349317_ST
7340154813648,101620051_ST
2340302100007,100634119_KG
2312725700003,100145399_KG
7340005405152,101295707_ST
7340083435461,101222618_ST
7340083440335,101231289_ST
7311043024339,101808531_ST
7311441165504,101509414_ST
7613032222109,101032179_ST
5011546419336,101239787_ST
5011476102957,101247391_ST
5053990127641,101542775_ST
7310960055174,101872458_ST
7300400122689,100799575_ST
7340005403349,101230868_ST
4001724010784,101231723_ST
7311311003097,101255226_ST
7311312009302,101760698_ST
7310532305812,101826545_ST
7300400128315,101184239_ST
7611612700146,101225130_ST
3529380017455,101517182_ST
7350024480160,101653293_ST
8002670382150,101293369_ST
8002670381504,101296711_ST
4132500002157,101294987_ST
5053990188819,101827318_ST
4132500002256,101310946_ST
7350029730079,101847582_ST
6408432002960,101833607_ST
7340005400331,100183123_ST
7340005406777,101543159_ST
7340005403233,101230899_ST
7340005403226,101230900_ST
7340005406227,101346063_ST
7340005402953,101211741_ST
7300400382205,100296715_ST
7340005407101,101762385_ST
7310628005572,101837666_ST
7350115944168,101542009_ST
7392031040685,101839240_ST
7350115940177,101502369_ST
7350115940207,101502368_ST
5000112672053,101595535_ST
5201002061371,100611820_ST
7331157002504,101491700_ST
7311870012202,101552868_ST
7311870012530,101777112_ST
7316110001978,101825742_ST
7310350504886,101778353_ST
4014400909937,100161753_ST
7315062155609,101296673_ST
7350028543762,101227690_ST
7311043006700,101543073_ST
7311311024702,101360261_ST
7310500191683,101839826_ST
7330247303088,101325289_ST
7313940574900,100970013_ST
6922130121292,101500964_ST
8935311140010,101602569_ST
8851876201754,101316006_ST
7611612121293,101514246_ST
7313940580024,100630658_ST
8714555000867,101521379_ST
8714555001666,101521378_ST
7611612121644,101824804_ST
7313940580154,101288581_ST
7313940580055,100630621_ST
7340083467738,101282570_ST
7310960041979,101337044_ST
7313940580147,101288535_ST
7311311013201,101268618_ST
7310500184180,101335375_ST
5712849010557,101470566_ST
7310960041962,101337043_ST
7330247350075,101312468_ST
7311311006975,101261076_ST
781923170437,101564757_ST
5053990188765,101827302_ST
7311310026745,100057778_ST
8721201984617,101802346_ST
8716125987332,101503336_ST
5060447292425,101806867_ST
7350167516412,101672958_ST
7311043024841,101814656_ST
7310960027232,101255711_ST
7311043025855,101822410_ST
7340005407040,101667339_ST
7340005407118,101762386_ST
7310240064346,100328655_ST
7340005404568,101264297_ST
7610400070577,100254467_ST
7311310026752,100057787_ST
8722700200185,101213479_ST
7350046468467,101386745_ST
7311310281113,101230427_ST
7350046468016,101235615_ST
7311043023844,101827546_ST
7350027799429,101690177_ST
7350046464858,101411217_ST
7350115940115,101502366_ST
7322550097549,101356971_ST
7310532153116,101543116_ST
7340005405343,101304707_ST
8800242940490,101834532_ST
8718366738339,101228352_ST
8801301455535,101833336_ST
7350046469211,101275934_ST
7310394002096,100465471_ST
7340083407277,101197951_ST
7311043005925,101540905_ST
7340005406807,101547766_ST
7310532151815,101264428_ST
7311043003327,101573528_ST
7311043022144,101772292_ST
7350046464766,101334120_ST
7340083433740,101231779_ST
7391196003627,101278673_ST
5900783010911,101838726_ST
7340083463518,101273929_ST
5900783010928,101760671_ST
7311043003631,101499407_ST
7310240025231,101261851_ST
7350075990236,101348524_ST
7310240025279,101288278_ST
9556041602778,100498187_ST
6006507008888,101760428_ST
6006570000093,101760429_ST
8710147624305,101730961_ST
8718225021053,101730926_ST
8710147624336,101731313_ST
8710147624343,101730582_ST
8710147624329,101730921_ST
7038010023866,101831715_ST
7313160020492,101839656_ST
6902007505264,101543769_ST
8410376037883,101427871_ST
7340083436215,101224920_ST
3166296552207,101833360_ST
7311312007384,101412914_ST
7310532120989,101760326_ST
7392055251319,101690600_ST
7350037197734,101690501_ST
7311043003532,101500404_ST
7310130013409,101542479_ST
8711327540903,101354482_ST
7622202029738,101599901_ST
7622210693303,101271174_ST
7622202029998,101599900_ST
8410376039191,101447982_ST
7310520011770,101366156_ST
7041111157347,101759156_ST
7350104404741,101778334_ST
4000417652508,101780329_ST
4000417652706,101780331_ST
7311043016457,101690066_ST
5059319025094,101542384_ST
5701073062746,101193155_ST
7622300750053,101193149_ST
7311043018314,101710357_ST
7311043017102,101698859_ST
7340083496080,101406691_ST
7311043011155,101584197_ST
7311043009961,101578228_ST
7622210850652,101278445_ST
7350104400545,101309793_ST
4002971253009,101276646_ST
4002971421507,101281056_ST
7310867800099,101599841_ST
8711327370708,101313840_ST
4002971301601,101424100_ST
7350068291210,101252611_ST
4008400202525,101287320_ST
4002971283808,101332345_ST
7350068295218,101518514_ST
7311041081716,101261765_ST
6408432201806,101340622_ST
7340001800708,101272920_ST
7350068291111,101252648_ST
73143611,101237292_ST
7311043001828,101474654_ST
4002971247503,101350003_ST
4002971341904,101776410_ST
7312690021115,101001513_ST
5774540845401,101778434_ST
7340083494406,101356855_ST
7394376615719,101295322_ST
7394376614804,101189247_ST
7350093741087,101826047_ST
7312690306038,101335410_ST
7038010071997,101599827_ST
7622202372360,101841796_ST
6408430408917,101367007_ST
6408430407675,101340616_ST
5711953068881,101545561_ST
5711953204234,101833706_ST
73515913,101853393_ST
7312690307028,101388397_ST
7350075539817,101306597_ST
7350075530074,101306591_ST
7350054797443,101542778_ST
7350135379254,101531960_ST
7391881000153,101219714_ST
7340083497759,101417702_ST
7037710044638,101855178_ST
7313981011884,101199470_ST
5709521034352,101227950_ST
5709521034291,101227949_ST
5709521034321,101227916_ST
7312060502268,101424707_ST
7350126083610,101412941_ST
7330242200931,101114465_ST
7310960773023,101270971_ST
7350126083498,101412939_ST
7350126083375,101412936_ST
7331340200274,101826593_ST
7311043010714,101582744_ST
7310525501610,100270430_ST
7311043011728,101591596_ST
5709521044269,101335651_ST
7391599020214,101194639_ST
7315360015698,100199492_ST
80578819,101292208_ST
5900951311390,101723527_ST
7311043015078,101667116_ST
5707196272932,101336169_ST
7340083474316,101290628_ST
7300208373009,100322697_ST
7350037198243,101839965_ST
7340109306010,101291334_ST
7340083404597,101207543_ST
7340083404580,101197435_ST
7331631011954,101590867_ST
7300200247001,101217221_ST
8410843110460,101262935_ST
7340083487132,101333715_ST
7340083456763,101263452_ST
7340109306560,101423270_ST
8437000542278,101220906_ST
7393287722196,101851814_ST
7350037193477,101330699_ST
7300208381004,100322786_ST
7340083404603,101197436_ST
4250127460416,100880575_ST
7350037198267,101839967_ST
8410783124855,101236293_ST
7340083404573,101197437_ST
7340109309035,101500950_ST
7340012510108,101805132_ST
7340045507557,101236339_ST
5701251863547,100191196_ST
7311312000897,101255225_ST
7311312000873,101255269_ST
7311312000859,101255243_ST
8721274805383,101840668_ST
7394376623912,101833700_ST
7311441165702,101830740_ST
2351374300004,101774946_KG
3523230038751,101341726_ST
3523230062633,101511398_ST
3394230110613,101774849_ST
3614070097913,101448171_ST
3272770016476,101425482_ST
7310960053071,101776270_ST
7350031133752,101847204_ST
7311043024940,101817425_ST
7311043024957,101817426_ST
7310960019497,101223245_ST
7340154812955,101623177_ST
7310960052661,101801383_ST
7311171006658,101197122_ST
7322550092117,101205421_ST
93182,101234341_ST
7310040075702,100332686_ST
4016241050588,101367012_ST
7350028540198,100110568_ST
7314720732459,101267015_ST
7340083444616,101239059_ST
7340083444623,101239060_ST
