ean,article,name,brand,basis,price,kcal,kj,fat,satfat,carb,sugar,fibre,protein,salt,source
7310240071665,101117765_ST,Vesuvio X-tra Allt Pizza Fryst,Grandiosa,100 gram,"44,43 kr",200.0,860.0,7.2,3.6,24.0,1.5,,10.0,1.1,hemkop
7312631022317,101327145_ST,Vetegroddar,Risenta,100 gram,"41,59 kr",359.0,1503.0,9.5,1.9,31.0,16.0,18.0,29.0,0.01,hemkop
7311043028214,101856974_ST,Vetekaka 12p,Garant,100 gram,"18,88 kr",291.0,1224.0,6.5,0.9,48.0,5.6,3.2,8.5,0.61,hemkop
7317530110691,101591321_ST,Vetekaka 24-pack,Garant,100 gram,"30,23 kr",287.0,1206.0,6.4,0.8,48.0,5.4,3.1,8.3,0.6,hemkop
7310130001918,100347910_ST,Vetekli,Kungsörnen,100 gram,"13,20 kr",288.0,1205.0,6.0,1.0,23.0,3.0,40.0,16.0,0.0,hemkop
7311041060216,101145716_ST,Vetemjöl,Garant,100 gram,"16,98 kr",340.0,1450.0,1.5,0.3,71.0,0.4,3.0,10.0,0.01,hemkop
7310130006029,101243524_ST,Vetemjöl,Kungsörnen,100 gram,"20,77 kr",346.0,1447.0,1.6,0.4,70.0,0.3,3.5,10.0,0.0,hemkop
7310130006043,101243303_ST,Vetemjöl,Kungsörnen,100 gram,"16,98 kr",346.0,1447.0,1.6,0.4,70.0,0.3,3.5,10.0,0.0,hemkop
7310130009143,101276431_ST,Vetemjöl,Kungsörnen,100 gram,"25,50 kr",340.0,1450.0,1.6,0.4,70.0,0.3,3.5,10.0,0.0,hemkop
7317731115341,100265829_ST,Vetemjöl,Saltå Kvarn,100 gram,"44,43 kr",350.0,1450.0,1.9,0.5,72.0,1.5,3.6,10.0,0.01,hemkop
7311043000555,101435437_ST,Vetemjöl Ekologiskt,Garant Eko,100 gram,"27,39 kr",346.0,1447.0,1.6,0.4,70.0,0.3,3.5,10.0,0.0,hemkop
7310130006081,101243352_ST,Vetemjöl Fullkorn,Kungsörnen,100 gram,"34,02 kr",344.0,1440.0,2.0,0.4,68.0,0.5,5.0,10.0,0.0,hemkop
7311041060223,101149133_ST,Vetemjöl Special,Garant,100 gram,"25,50 kr",340.0,1450.0,1.5,0.4,70.0,0.4,2.8,12.0,0.01,hemkop
7310130006050,101243533_ST,Vetemjöl Special,Kungsörnen,100 gram,"32,13 kr",346.0,1447.0,1.6,0.4,68.0,0.3,3.5,12.0,0.0,hemkop
7310130001970,101152501_ST,Vetemjöl Special Ekologiskt,Kungsörnen,100 gram,"35,91 kr",340.0,1450.0,1.6,0.4,69.0,0.3,3.5,11.0,0.0,hemkop
7310130006074,101243358_ST,Vetemjöl Special Fullkorn,Kungsörnen,100 gram,"34,02 kr",340.0,1422.0,2.0,0.5,63.0,0.5,7.0,13.0,0.0,hemkop
7340083490453,101343808_ST,Veteskorpor,Eldorado,100 gram,"20,77 kr",373.0,1551.0,9.1,3.1,61.0,7.4,3.5,8.5,1.3,hemkop
7340083447112,101243923_ST,Veteskorpor Eko,Garant Eko,100 gram,"30,23 kr",410.0,1750.0,10.0,1.1,69.0,9.4,3.0,8.9,0.9,hemkop
7310401058719,101879665_ST,Vichy Kolsyrat Vatten Pet,Spendrups,100 milliliter,"7,52 kr",0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2,hemkop
8000920200025,100149894_ST,Viennetta Vanilla Glass,Viennetta,100 gram,"25,50 kr",239.0,995.0,14.0,12.0,26.0,20.0,,2.1,0.08,hemkop
5056784912591,101824141_ST,Viking Berry Energidryck Burk,Monster Energy,100 milliliter,"19,82 kr",42.0,177.0,0.0,0.0,11.0,9.8,,0.0,0.1,hemkop
7340083495052,101358873_ST,Vilda Djur Barnpasta,Garant Eko,100 gram,"17,93 kr",354.0,1501.0,1.3,0.3,73.0,3.2,2.7,11.0,0.01,hemkop
7331217016250,101695421_ST,Vildgurka Libanesisk,Sevan,100 gram,"34,97 kr",25.0,105.0,0.0,0.0,4.0,1.0,,1.0,2.6,hemkop
2376272200003,101869647_KG,Vildsvins Ytterfilé Fryst Sverige,Åke P,100 gram,"330,30 kr",122.0,510.0,3.33,,0.0,,,21.51,,hemkop
2376272100006,100819072_KG,Vildsvinsfärs Fryst Sverige,Åke P,100 gram,"150,40 kr",180.0,755.0,12.0,,0.07,,,18.9,,hemkop
7322550052692,100404965_ST,Vilt Kantarell Fond,Touch Of Taste,100 milliliter,"34,97 kr",2.0,10.0,0.5,0.1,0.5,0.1,,0.5,0.7,hemkop
7311311026508,101544891_ST,Viltkrydda,Santa Maria,100 gram,"18,88 kr",218.0,912.0,5.1,1.2,27.0,4.0,17.0,8.0,33.5,hemkop
7331217012795,101284506_ST,Vinblad Handplockade Påse,Sevan,100 gram,"47,27 kr",48.0,199.0,0.4,0.0,4.4,0.0,6.7,3.2,4.25,hemkop
7350005810115,101290093_ST,Vinbladsdolmar,Nasib,100 gram,"29,29 kr",122.0,510.0,6.8,0.6,13.5,1.5,,1.8,0.9,hemkop
7311311004483,101262306_ST,Vinsyra Påse,Santa Maria,100 gram,"18,88 kr",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hemkop
7350002401163,100184177_ST,Vinäger Crema Di Balsamico,Zeta,100 gram,"56,73 kr",213.0,907.0,0.0,0.0,51.0,42.0,,0.5,0.2,hemkop
5701073041437,101277599_ST,Violet Colour Gel Concentrated,Dr Oetker,100 gram,"23,15 kr",248.0,1052.0,0.0,0.0,61.0,43.0,,0.4,0.07,hemkop
