ean,article,name,brand,weight,price,basis,kcal,kj,fat,satfat,carb,sugar,fibre,protein,salt,source
3856020255770,101425864_ST,Grönsakssoppa Noodle Soup Pulver/4 Port,Podravka,58 g/1 l,"8,42 kr",250 milliliter,52.0,218.0,1.3,0.8,8.0,1.2,0.6,1.7,2.2,willys
7391835917285,101209512_ST,Grönt Te,Kung Markatta,20 p,"22,61 kr",100 gram,1.0,3.0,0.0,0.0,0.2,0.1,,0.0,0.0,willys
7310070010025,101875682_ST,Grönt Äpple Kolsyrat Vatten Pet,Ramlösa,"1,5 l","10,88 kr",1000 milliliter,,,,,,,,,,willys
7611612516594,101782319_ST,Grönt Äpple Kolsyratvatten Pet,Premier,12 p/33 cl,"37,76 kr",1000 milliliter,,,,,,,,,,willys
7311043022939,101550226_ST,Grönt Äpple Kolsyratvatten Pet,Premier,6 p/50 cl,"32,08 kr",,,,,,,,,,,
7611612516556,101550227_ST,Grönt Äpple Kolsyratvatten Pet,Premier,50 cl,"7,47 kr",1000 milliliter,,,,,,,,,20.0,willys
7330605001427,101708284_ST,Grönt Äpple Tonic Glas,Ekobryggeriet,50 cl,"28,29 kr",100 milliliter,40.0,172.0,0.5,0.5,9.6,9.6,,0.5,0.01,willys
7311070008708,101296682_ST,Grötbröd,Pågen,780 g,"27,90 kr",100 gram,266.0,1114.0,4.7,0.6,42.0,4.9,5.0,11.0,1.0,willys
7350029737351,101447820_ST,Grötfralla 10-pack,Dahls Bageri,700 g,"29,90 kr",100 gram,197.0,825.0,3.3,0.8,34.0,3.9,3.0,7.0,0.07,willys
7311043014026,101759151_ST,Grötfrallor 4-pack,Garant,200 g,"14,10 kr",100 gram,252.0,1054.0,3.9,0.4,36.0,4.9,5.3,11.0,1.0,willys
7340083488351,101337368_ST,Grötkopp Bär,Garant,65 g,"15,04 kr",100 gram,77.0,325.0,1.3,0.2,13.0,1.9,1.9,2.4,0.15,willys
7340083488344,101337370_ST,Grötkopp Äpple Kanel,Garant,65 g,"15,04 kr",100 gram,77.0,323.0,1.3,0.3,13.0,2.2,1.9,2.3,0.23,willys
7350029732684,101447815_ST,Grötlimpa,Dahls Bageri,600 g,"28,29 kr",100 gram,197.0,825.0,3.3,0.8,34.0,3.9,3.0,7.0,0.07,willys
7340083452901,101258095_ST,Grötris,Eldorado,1 kg,"23,56 kr",100 gram,360.0,1550.0,0.5,0.1,82.0,0.0,,6.8,0.1,willys
7311043021109,101755774_ST,Grötris Polerat,Garant,1 kg,"28,29 kr",100 gram,351.0,1489.0,1.3,0.3,77.0,0.2,1.2,7.6,0.0,willys
7350116923872,101469592_ST,Gua Bao Buns 8p Fryst,Twin Dragon,360 g,"40,60 kr",100 gram,277.0,1175.0,1.6,0.4,56.0,0.1,0.8,7.8,0.52,willys
7350115942096,101464441_ST,Guacamole,El Taco Truck,200 g,"40,60 kr",100 gram,182.0,765.0,17.0,3.7,1.6,1.4,,2.5,0.9,willys
7611612701174,101570834_ST,Guacamole Dip,Banderos,300 g,"23,56 kr",100 gram,111.0,461.0,8.0,2.8,8.5,3.5,,0.8,1.1,willys
7311311003080,101255271_ST,Guacamole Dip Mix,Santa Maria,15 g,"8,99 kr",100 gram,309.0,1307.0,2.3,0.2,63.0,6.8,6.8,6.1,12.1,willys
7311043004621,101506626_ST,Guacamole Kryddmix,Garant,15 g,"8,42 kr",100 gram,311.0,1300.0,2.8,0.5,62.0,4.1,8.1,4.9,11.9,willys
7310070008732,101833674_ST,Guanabana Pineapple Fruktdryck Pet,Festis,50 cl,"10,88 kr",100 milliliter,30.0,127.0,0.0,0.0,7.1,7.1,,0.0,0.0,willys
8020263004074,101690466_ST,Guanciale Stagionato Dolce,Sanvincenzo,170 g,"47,22 kr",100 gram,676.0,2786.0,69.0,25.0,7.2,0.0,,6.5,2.4,willys
5290074003716,101237051_ST,Guava Fruktdryck,Fontana,1 l,"16,94 kr",100 milliliter,57.0,239.0,0.5,0.0,11.5,10.5,0.5,0.5,0.01,willys
7310240071658,101269887_ST,Gudfadern X-tra Allt Pizza Fryst,Grandiosa,350 g,"37,76 kr",100 gram,220.0,930.0,9.4,3.7,24.0,1.8,,9.3,1.1,willys
5000213024829,101331528_ST,Guinness Stout Alkfri Burk,Guinness,44 cl,"18,83 kr",100 milliliter,17.0,71.0,0.0,0.0,3.8,0.7,,0.3,0.0,willys
4051009043181,101806411_ST,Gul Paprika Färskost,Kühlmann,150 g,"28,29 kr",100 gram,275.0,1138.0,24.0,7.3,10.0,8.5,,3.1,0.75,willys
7312787703627,100510056_ST,Gula Ärter,Gogreen,500 g,"12,20 kr",100 gram,317.0,1325.0,1.0,0.2,49.0,2.1,11.0,22.0,0.01,willys
7312787703634,100356936_ST,Gula Ärter,Gogreen,1 kg,"17,88 kr",100 gram,317.0,1325.0,1.0,0.2,49.0,2.1,11.0,22.0,0.01,willys
8711254090274,100897120_ST,Gulaschsoppa,Weightwatchers,400 ml,"18,50 kr",100 milliliter,43.0,180.0,0.5,0.5,6.5,1.6,1.1,2.5,1.1,willys
7340083485756,101341881_ST,Gulaschsoppa,Garant,450 g,"31,90 kr",100 gram,59.0,246.0,1.8,0.3,7.5,3.0,,2.3,0.81,willys
7350126088882,101615450_ST,Gulaschsoppa Vegetarisk,Felix,560 g,"39,65 kr",100 gram,83.0,348.0,4.7,0.5,6.9,2.1,,2.9,1.0,willys
7310240064377,100592823_ST,Gulaschsoppa Österrikisk,Felix,560 g,"42,90 kr",100 gram,77.0,322.0,4.1,0.7,4.5,1.1,,5.0,1.0,willys
8712566118243,101176088_ST,Gulaschsoppa Österrikisk 2 Port,Knorr,500 g/5 dl,"30,19 kr",100 milliliter,76.0,317.0,3.4,0.9,6.7,2.0,1.1,4.1,1.4,willys
7310521050204,100542824_ST,Guld Marie,Guld Marie,200 g,"12,11 kr",100 gram,444.0,1868.0,13.0,1.2,73.0,17.0,2.8,7.5,1.1,willys
5709521047185,101466075_ST,Guld Pulver,Odense,5 g,"37,76 kr",100 gram,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,willys
5774540844046,101659694_ST,Guldask Hjärta Chokladpraliner,Anthon Berg,155 g,"75,61 kr",100 gram,547.0,2280.0,35.0,18.0,50.0,43.0,,6.1,0.18,willys
7311070330328,100168649_ST,Guldkorn,Pågen,500 g,"21,50 kr",100 gram,274.0,1161.0,2.4,0.4,51.0,8.2,4.8,9.8,1.1,willys
